Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.ap total import to from[Pig, OthCEECIS, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, EU27]",26.4506435941,11.9675722187,0,0,0.869683684808,46.3579388551,13.3663602233,6.6211078639,8.77339283085,12.9960479045,8.94231314297,5.53851230656,6.94004943539,7.73303701772,7.85458027212,35.3342838499,67.5703342978,81.8957542651,100.398482644,121.703053355,143.542878404,159.956413887,142.593848553,85.8381653847,59.1170800647,52.5014175643,47.9077971886,43.3377754641,39.0785681166,35.1066804874
"Global.ap total import to from[Pig, OthCEECIS, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, INDIA]",0.017854499005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, RSEASIA]",0.64276196418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, OthCEECIS, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, CAN]",2.28623685414,0,0,0,6.373292102,0,0,8.14194850358,11.4925206302,15.5503745137,12.5015860022,26.6476527292,37.1011106739,47.3520481137,58.0309160011,68.7225881429,80.4498636734,94.3147111745,106.69510857,116.673374114,124.493979497,132.786826106,139.958965022,136.886803501,147.678172807,155.538583827,161.376785582,167.265563109,173.003806184,178.315865683
"Global.ap total import to from[Pig, MEASNAfr, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, Brazil]",1.24371284865,4.89064523969,0,0,0,0,0,6.62775482646,17.605103058,28.5441068744,27.6380222672,12.6770923759,0,0,0,0,0,0,0,1.0527266557,6.73840787985,19.132576962,26.4128878847,28.6207962704,33.1286349259,36.8068861542,40.0470423787,43.4351349175,46.9244995014,50.4332677319
"Global.ap total import to from[Pig, MEASNAfr, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, EU27]",2.8595290372,37.409252159,0,0,11.1394125057,62.5535772837,54.7039687971,48.0933773609,63.1609679148,77.7942505484,49.096171226,61.2968692856,85.9764162885,106.965841487,123.275650589,139.551336554,158.010595818,180.218077525,199.079436299,213.22598868,223.332126474,232.34130746,237.094140919,223.024607784,231.723708569,236.425607044,239.075030066,242.13423093,245.243841023,248.104686235
"Global.ap total import to from[Pig, MEASNAfr, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, INDIA]",0.00193021610865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, RSEASIA]",0.0694877799113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, MEASNAfr, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, Brazil]",0,0,0,0,0,0,0,7.9498712529,23.1727039524,27.2324537139,32.8135831553,7.68527011507,0,0,0,0,0,0,0,0.714327529545,5.09137966496,17.269601846,28.5150871635,39.5781313948,50.3314847742,60.380756935,69.9186437395,79.9621506433,90.4667047433,101.253696734
"Global.ap total import to from[Pig, SSAFR, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, EU27]",11.925358068,66.183085795,0,0,15.7963032775,52.0331973879,31.5646664042,109.494299757,131.009889696,112.092715712,85.2049360977,53.6534170712,75.0705919052,96.1040430098,113.441874387,131.96199441,156.499439849,185.556068986,214.972102829,244.35217078,274.238785059,327.37423637,395.551847579,473.92901655,538.153894143,590.604977632,633.889485352,675.608443793,715.517209174,752.893608913
"Global.ap total import to from[Pig, SSAFR, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, INDIA]",0.0468311131119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, RSEASIA]",1.68592007203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, SSAFR, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, CAN]",116.883859168,0,0,0,2.06921848517,0,0,3.00466738754,2.1208440397,1.76571836239,2.02108229915,2.21258387104,2.60276464733,2.68661505852,2.53003547158,2.2023321229,1.86957142152,1.35540430844,0.691280208565,0.325049089617,0.198483967827,0.135352758167,0.099450861429,0.0765699152956,0.0578566193927,0.0428943452493,0.0313772596455,0.0230637399206,0.0170320347172,0.0126129969963
"Global.ap total import to from[Pig, Russia, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, Brazil]",63.5848193873,28.5324642262,0,0,0,0,0,2.44587628758,3.24886759749,3.24113439207,4.46813048983,1.05259290218,0,0,0,0,0,0,0,0.00293287001983,0.0107432177703,0.0195022890342,0.0187682471969,0.016009519472,0.0129789716752,0.0101505828548,0.00778653783578,0.00598913868781,0.00461966544103,0.00356734748185
"Global.ap total import to from[Pig, Russia, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, EU27]",146.193422027,218.248941938,0,0,3.61663609667,26.0216648339,6.69317105318,17.7481597248,11.6558035138,8.83340375888,7.93718513822,5.08954637411,6.03152770241,6.06892525108,5.3745794529,4.47215973077,3.67200242174,2.58992850314,1.28984051931,0.594042248537,0.356064179046,0.236830999905,0.168472355811,0.124752531947,0.0907835610105,0.065201324101,0.0464845006428,0.0333871528858,0.0241439868094,0.0175494404285
"Global.ap total import to from[Pig, Russia, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, INDIA]",0.0986822985546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, RSEASIA]",3.55256274797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, Russia, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, CAN]",20.861911294,0,0,0,13.4271948028,0,0,33.5257457382,37.307569414,29.3820622772,61.4007277946,79.2870274603,115.350111602,148.717070115,172.597670034,186.795644613,198.345608266,207.17459942,209.858900505,207.886768256,203.095441406,212.597194217,225.971095257,238.83300031,239.024190229,232.310978552,222.712969484,214.136160476,206.281700487,198.802852971
"Global.ap total import to from[Pig, CHIHKG, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, Brazil]",11.3488797439,11.7926990209,0,0,0,0,0,27.2908165692,57.1505264608,53.9334100983,135.742351547,37.7192310908,0,0,0,0,0,0,0,1.87573166519,10.9928201208,30.6320461115,42.6449938612,49.9360820013,53.6202810886,54.9744219701,55.2681458802,55.6063833351,55.9505930255,56.2276243416
"Global.ap total import to from[Pig, CHIHKG, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, EU27]",26.0932024644,90.2040589094,0,0,23.4684146449,102.202281295,58.9154565167,198.03199939,205.03615095,146.99038357,241.132656662,182.381788282,267.307070702,335.94421323,366.650942804,379.316067289,389.56818954,395.872579735,391.56988708,379.922686144,364.336789535,371.988031609,382.800935217,389.121776956,375.055912087,353.123082233,329.942808585,309.984276306,292.417361653,276.609819717
"Global.ap total import to from[Pig, CHIHKG, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, INDIA]",0.0176132219914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, RSEASIA]",0.634075991691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, CHIHKG, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, CAN]",0,0,0,0,9.01153737823,0,0,74.3815783609,67.1421716518,51.1847116005,48.0416805579,42.7951710672,46.7837019494,51.6575926813,56.121920199,60.5372531235,67.7845439656,75.48675144,82.2715364809,88.379530252,94.2864266453,107.719221424,124.331120298,143.117173562,155.794302199,166.878303386,176.165010636,184.573888084,191.7101743,197.465124183
"Global.ap total import to from[Pig, INDIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, Brazil]",0,0,0,0,0,0,0,2.33946925976,7.39604626075,7.1706195255,8.16669873654,1.69992905284,0,0,0,0,0,0,0,0.112937661178,0.98056339838,3.97361698607,5.95503714865,7.32053365524,8.49729023755,9.56068501439,10.5543161186,11.5489903112,12.5114502325,13.4232175839
"Global.ap total import to from[Pig, INDIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, INDIA, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, CAN]",0,0,0,0,1.09642597389,0,0,10.8426977078,10.5020609355,8.03347388755,7.08318422856,5.77785023968,6.25998469224,7.16026268765,8.03069956031,8.89152364575,10.2281545875,11.4907611229,12.6315233193,13.668021423,14.6749408466,16.9171799609,19.8876661321,23.3834140702,26.1264072988,28.1394646652,29.5550655957,30.8690333022,32.0729639747,33.1217067036
"Global.ap total import to from[Pig, RSASIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, Brazil]",0,0,0,0,0,0,0,0.340987156699,1.15546261931,1.12387988812,1.20238339134,0.229192132071,0,0,0,0,0,0,0,0.017444868867,0.152518637491,0.623888971007,0.952308529358,1.19573907011,1.42457853702,1.6116953148,1.77019225589,1.93096724718,2.09256882319,2.25090482052
"Global.ap total import to from[Pig, RSASIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, RSASIA, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, EASIA, CAN]",28.29218107,0,0,0,4.61567550891,0,0,3.62154454422,1.03978449299,17.1865409838,9.6209834292,8.96905185125,12.8047548841,17.1249126634,21.0599728016,23.8091132862,25.9477566009,27.4368088439,28.0108184031,27.1567430651,25.4275967737,22.5898001442,19.9414474072,20.8471076461,20.5766532098,20.0953036284,19.6013118525,19.1584081161,18.6877521217,18.1555614842
"Global.ap total import to from[Pig, EASIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, EASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, EASIA, Brazil]",15.3909465021,5.33094058787,0,0,0,0,0,2.94803010871,1.59281969084,31.5474371508,21.2696976369,4.26684856627,0,0,0,0,0,0,0,0.245031289476,1.37630365065,3.25484916307,3.76332601874,4.35878993084,4.61595927975,4.75538309971,4.86423473862,4.97501114911,5.06875215325,5.13495694648
"Global.ap total import to from[Pig, EASIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[Pig, EASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
